prefix,manufacturer
051500,Smucker's
074416,Smucker's
090297,Smucker's
185814004,Smucker's
185814005,Smucker's
041522,Smucker's
079100,Smucker's
051316,Smucker's
632697,Smucker's
852505004,Smucker's
893869005,Smucker's
185814001,Smucker's
025500,Smucker's
075101,Smucker's
851599000,Smucker's
082444,Smucker's
074471,Smucker's
8489960,Smucker's
631843,Smucker's
185814002,Smucker's
185814003,Smucker's
893869000,Smucker's
8489961,Smucker's
091494,Smucker's
723633,Smucker's
730521,Smucker's
893869003,Smucker's
829274,Smucker's
070461,Smucker's
071190,Smucker's
185814000,Smucker's
041800,Welch's
014500,Pinnacle
070786,Pinnacle
011594,Pinnacle
011162,Pinnacle
011134,Pinnacle
041321,Pinnacle
070760,Pinnacle
8422340,Pinnacle
038897,Pinnacle
041114,Pinnacle
891627007,Pinnacle
891627009,Pinnacle
891627010,Pinnacle
023000,Pinnacle
028586,Pinnacle
658276,Pinnacle
737880,Pinnacle
019600,Pinnacle
054100,Pinnacle
033776,Pinnacle
891627002,Pinnacle
851443000,Pinnacle
041255,Pinnacle
041632,Pinnacle
029905,Pinnacle
644209,Pinnacle
698997,Pinnacle
891627003,Pinnacle
891627011,Pinnacle
891627008,Pinnacle
051100,Pinnacle
076800,Pinnacle
718609,Pinnacle
679187,Pinnacle
858811006,Pinnacle
072999,Musco
705814,Musco
603385,Unilever
048001,Unilever
075372,Unilever
043646,Unilever
011111,Unilever
087300,Unilever
011112,Unilever
079400,Unilever
045893,Unilever
311113,Unilever
022400,Unilever
370730,Unilever
30521,Unilever
077043,Unilever
080614,Unilever
765950,Unilever
787211,Unilever
856097008,Unilever
859581006,Unilever
794522,Unilever
850005911,Unilever
009388,Nestle
013800,Nestle
018871,Nestle
022592,Nestle
024842,Nestle
011132,Nestle
047557,Nestle
038100,Nestle
807020,Nestle
070002,Nestle
017800,Nestle
070230,Nestle
041546,Nestle
043456,Nestle
043569,Nestle
041679,Nestle
043900,Nestle
017900,Nestle
074653,Nestle
071921,Nestle
317800,Nestle
041470,Nestle
039000,Nestle
751746,Nestle
020182,Nestle
050000,Nestle
072985,Nestle
051130,Nestle
051120,Nestle
043695,Nestle
043800,Nestle
084356,Nestle
028000,Nestle
045500,Nestle
070478,Nestle
071142,Nestle
088130,Nestle
073430,Nestle
074780,Nestle
075720,Nestle
079613,Nestle
080717,Nestle
082657,Nestle
083046,Nestle
083900,Nestle
086872,Nestle
088169,Nestle
727734,Nestle
748794,Nestle
798716,Nestle
025800,Oscar Mayer (Kraft Heinz)
013130,Oscar Mayer (Kraft Heinz)
025400,Oscar Mayer (Kraft Heinz)
025155,Oscar Mayer (Kraft Heinz)
075165,Oscar Mayer (Kraft Heinz)
343000,Oscar Mayer (Kraft Heinz)
713579,Oscar Mayer (Kraft Heinz)
791753,Oscar Mayer (Kraft Heinz)
718378,Oscar Mayer (Kraft Heinz)
019000,Oscar Mayer (Kraft Heinz)
051600,Oscar Mayer (Kraft Heinz)
046704,Oscar Mayer (Kraft Heinz)
047496,Oscar Mayer (Kraft Heinz)
049900,Oscar Mayer (Kraft Heinz)
077694,Oscar Mayer (Kraft Heinz)
044700,Oscar Mayer (Kraft Heinz)
044720,Oscar Mayer (Kraft Heinz)
759283,Oscar Mayer (Kraft Heinz)
716037,Oscar Mayer (Kraft Heinz)
745378,Oscar Mayer (Kraft Heinz)
031270,Oscar Mayer (Kraft Heinz)
014028,Oscar Mayer (Kraft Heinz)
032414,Oscar Mayer (Kraft Heinz)
034852,Oscar Mayer (Kraft Heinz)
070346,Oscar Mayer (Kraft Heinz)
030200,Oscar Mayer (Kraft Heinz)
046957,Oscar Mayer (Kraft Heinz)
071119,Oscar Mayer (Kraft Heinz)
019582,Oscar Mayer (Kraft Heinz)
024219,Oscar Mayer (Kraft Heinz)
054400,Oscar Mayer (Kraft Heinz)
072272,Oscar Mayer (Kraft Heinz)
071159,Oscar Mayer (Kraft Heinz)
073130,Oscar Mayer (Kraft Heinz)
601900,Oscar Mayer (Kraft Heinz)
021000,Oscar Mayer (Kraft Heinz)
033254,Oscar Mayer (Kraft Heinz)
013120,Oscar Mayer (Kraft Heinz)
030411,Oscar Mayer (Kraft Heinz)
070277,Oscar Mayer (Kraft Heinz)
080472,Oscar Mayer (Kraft Heinz)
071871,Oscar Mayer (Kraft Heinz)
071984,Oscar Mayer (Kraft Heinz)
013000,Oscar Mayer (Kraft Heinz)
043000,Oscar Mayer (Kraft Heinz)
017696,Oscar Mayer (Kraft Heinz)
047635,Oscar Mayer (Kraft Heinz)
019830,Oscar Mayer (Kraft Heinz)
044446,Oscar Mayer (Kraft Heinz)
070085,Oscar Mayer (Kraft Heinz)
070059,Oscar Mayer (Kraft Heinz)
071040,Oscar Mayer (Kraft Heinz)
052471,Oscar Mayer (Kraft Heinz)
078485,Oscar Mayer (Kraft Heinz)
044710,Oscar Mayer (Kraft Heinz)
077298,Oscar Mayer (Kraft Heinz)
046800,Oscar Mayer (Kraft Heinz)
319000,Oscar Mayer (Kraft Heinz)
075507,Oscar Mayer (Kraft Heinz)
087684,Oscar Mayer (Kraft Heinz)
083218,Oscar Mayer (Kraft Heinz)
653121,Oscar Mayer (Kraft Heinz)
600699,Oscar Mayer (Kraft Heinz)
053400,Sara Lee (Hillshire Brands)
071068,Sara Lee (Hillshire Brands)
070115,Sara Lee (Hillshire Brands)
075971,Sara Lee (Hillshire Brands)
794245,Sara Lee (Hillshire Brands)
071307,Sara Lee (Hillshire Brands)
070036,Sara Lee (Hillshire Brands)
048816,Sara Lee (Hillshire Brands)
077900,Sara Lee (Hillshire Brands)
073583,Sara Lee (Hillshire Brands)
070214,Sara Lee (Hillshire Brands)
071868,Sara Lee (Hillshire Brands)
054500,Sara Lee (Hillshire Brands)
044500,Sara Lee (Hillshire Brands)
030078,Sara Lee (Hillshire Brands)
072655,Conagra
074956,Conagra
8641300002,Conagra
034183,Conagra
016272,Conagra
046900,Conagra
612781,Conagra
017873,Conagra
024812,Conagra
071999,Conagra
072274,Conagra
028268,Conagra
070272,Conagra
349100,Conagra
754918,Conagra
769950,Conagra
027000,Conagra
014900,Conagra
070920,Conagra
686151,Conagra
050100,Conagra
064144,Conagra
045300,Conagra
044300,Conagra
076150,Conagra
026200,Conagra
031000,Conagra
048300,Conagra
889379,Conagra
072895,Conagra
072290,Conagra
070271,Conagra
604183,Conagra
073200,Conagra
097874,Conagra
094643,Conagra
716198,Conagra
762207,Conagra
785170,Conagra
83030800,Conagra
016000,General Mills
859610009,General Mills
075265,General Mills
092325,General Mills
859610007,General Mills
854818000,General Mills
018000,General Mills
018300,General Mills
013562,General Mills
031100,General Mills
041148,General Mills
042800,General Mills
721582,General Mills
665596,General Mills
020000,General Mills
028170,General Mills
732153,General Mills
859610005,General Mills
859610006,General Mills
046000,General Mills
041196,General Mills
018633,General Mills
859610000,General Mills
8402431,General Mills
859610008,General Mills
012123,General Mills
035300,General Mills
070733,General Mills
075270,General Mills
087442,General Mills
079126,Kellogg's
884623,Kellogg's
854210001,Kellogg's
038000,Kellogg's
190912,Kellogg's
048600,Campbell's
890180001,Campbell's
019500,Campbell's
858328764,Campbell's
896766001,Campbell's
649752,Campbell's
858328000,Campbell's
351000,Campbell's
8466750,Campbell's
051000,Campbell's
8475740,Campbell's
019001,Campbell's
858328762,Campbell's
858328204,Campbell's
858328761,Campbell's
019582,Kraft Heinz
024219,Kraft Heinz
054400,Kraft Heinz
072272,Kraft Heinz
071159,Kraft Heinz
073130,Kraft Heinz
070085,Kraft Heinz
070059,Kraft Heinz
071040,Kraft Heinz
071871,Kraft Heinz
071984,Kraft Heinz
319000,Kraft Heinz
716037,Kraft Heinz
718378,Kraft Heinz
019000,Kraft Heinz
051600,Kraft Heinz
046704,Kraft Heinz
047496,Kraft Heinz
049900,Kraft Heinz
077694,Kraft Heinz
083218,Kraft Heinz
071119,Kraft Heinz
600699,Kraft Heinz
017696,Kraft Heinz
047635,Kraft Heinz
019830,Kraft Heinz
044446,Kraft Heinz
044710,Kraft Heinz
077298,Kraft Heinz
046800,Kraft Heinz
343000,Kraft Heinz
653121,Kraft Heinz
759283,Kraft Heinz
013000,Kraft Heinz
031270,Kraft Heinz
014028,Kraft Heinz
032414,Kraft Heinz
034852,Kraft Heinz
070346,Kraft Heinz
030200,Kraft Heinz
044700,Kraft Heinz
044720,Kraft Heinz
052471,Kraft Heinz
078485,Kraft Heinz
025800,Kraft Heinz
013130,Kraft Heinz
025400,Kraft Heinz
025155,Kraft Heinz
075165,Kraft Heinz
601900,Kraft Heinz
043000,Kraft Heinz
745378,Kraft Heinz
021000,Kraft Heinz
075507,Kraft Heinz
087684,Kraft Heinz
046957,Kraft Heinz
791753,Kraft Heinz
033254,Kraft Heinz
013120,Kraft Heinz
030411,Kraft Heinz
070277,Kraft Heinz
080472,Kraft Heinz
713579,Kraft Heinz
010373,Coca-Cola
015697,Coca-Cola
039382,Coca-Cola
049000,Coca-Cola
049235,Coca-Cola
053029,Coca-Cola
053045,Coca-Cola
072052,Coca-Cola
072148,Coca-Cola
072979,Coca-Cola
083058,Coca-Cola
083900,Coca-Cola
092065,Coca-Cola
602888,Coca-Cola
717842,Coca-Cola
721008,Coca-Cola
735086,Coca-Cola
749032,Coca-Cola
752385,Coca-Cola
760699,Coca-Cola
850116008,Coca-Cola
850007073,Coca-Cola
8600011371,Coca-Cola
8626180004,Coca-Cola
8651570003,Coca-Cola
8651860004,Coca-Cola
8652420004,Coca-Cola
8654350001,Coca-Cola
8655370001,Coca-Cola
8689590003,Coca-Cola
8696530000,Coca-Cola
657622,Coca-Cola
032239,Coca-Cola
888202,Coca-Cola
021136,Coca-Cola
821541,Coca-Cola
071708,Coca-Cola
883315,Coca-Cola
075099,Diamond 
041506,Diamond 
076811,Diamond 
097708,Diamond 
854972004,Diamond 
81001957,Diamond 
785921,United Sugars
070090,United Sugars
083422,Domino
049200,Domino
075779,Domino
81929300,Domino
888884,Kimberly-Clark
036000,Kimberly-Clark
088502,Kimberly-Clark
054000,Kimberly-Clark
704098,Kimberly-Clark
013963,Georgia-Pacific
850443004,Georgia-Pacific
030400,Georgia-Pacific
036500,Georgia-Pacific
330400,Georgia-Pacific
054654,Georgia-Pacific
081999,Georgia-Pacific
024682,Hershey's
032284,Hershey's
034000,Hershey's
623316,Hershey's
068437,Hershey's
855002003,Hershey's
81721702,Hershey's
859686004,Hershey's
064531,Hershey's
729890,Hershey's
81047400,Hershey's
053875,Hershey's
046100,Sargento
076808,Barilla
706010,Barilla